dasid;StandardTitle;Citation;AccessConstraint;AccConNotes
5989;Royal Belgian Institute of Natural Sciences Mammalia Collection (Mammalia);Semal, P. (2020) Royal Belgian Institute of Natural Sciences Mammalia collection;Attribution (CC BY);In this dataset the records without coordinates (or any location identifier) have been filtered out. Those records will not be found in EMODnet Biology, EurOBIS and OBIS. The original datasets with all the records can be accessed in http://ipt.naturalsciences.be/
5990;The Belgian Marine Mammals Database (BMM);Haelters, J., Jauniaux, T. (2019) The Belgian marine mammals database;Attribution (CC BY);NULL
5991;Royal Belgian Institute of Natural Sciences Mollusca Collection (Mollusca);Samyn, Y., Semal, P. (2020) Royal Belgian Institute of Natural Sciences Mollusca collection;Attribution (CC BY);In this dataset the records without coordinates (or any location identifier) have been filtered out. Those records will not be found in EMODnet Biology, EurOBIS and OBIS. The original datasets with all the records can be accessed in http://ipt.naturalsciences.be/
5992;Royal Belgian Institute of Natural Sciences Pisces Collection (Pisces);Semal, P. (2020) Royal Belgian Institute of Natural Sciences Pisces Collection;Attribution (CC BY);In this dataset the records without coordinates (or any location identifier) have been filtered out. Those records will not be found in EMODnet Biology, EurOBIS and OBIS. The original datasets with all the records can be accessed in http://ipt.naturalsciences.be/
5993;Royal Belgian Institute of Natural Sciences Reptilia Collection (Reptilia);Semal, P. (2020) Royal Belgian Institute of Natural Sciences Pisces collection;Attribution (CC BY);In this dataset the records without coordinates (or any location identifier) have been filtered out. Those records will not be found in EMODnet Biology, EurOBIS and OBIS. The original datasets with all the records can be accessed in http://ipt.naturalsciences.be/
5994;Royal Belgian Institute of Natural Sciences Rotifera Collection (Rotifera);Samyn, Y., Semal, P. (2020) Royal Belgian Institute of Natural Sciences Rotifera collection;Attribution (CC BY);In this dataset the records without coordinates (or any location identifier) have been filtered out. Those records will not be found in EMODnet Biology, EurOBIS and OBIS. The original datasets with all the records can be accessed in http://ipt.naturalsciences.be/
5995;Royal Belgian Institute of Natural Sciences Vertebrates/Types Collection (vertebratestypes);Semal, P. (2020) Royal Belgian Institute of Natural Sciences Vertebrates/Types collection;Attribution (CC BY);In this dataset the records without coordinates (or any location identifier) have been filtered out. Those records will not be found in EMODnet Biology, EurOBIS and OBIS. The original datasets with all the records can be accessed in http://ipt.naturalsciences.be/
5996;Phytoplankton abundance and biomass data from 2007 to 2016 in the Bulgarian Black Sea;"Snejana Moncheva; Institute of Oceanology, Bulgarian Academy of Sciences (IO-BAS); (2019): Phytoplankton abundance and biomass data from 2007 to 2016 in the Bulgarian Black Sea";Attribution-NonCommercial-ShareAlike (CC BY-NC-SA);NULL
5997;Zooplankton in the Coastal Waters of Zmiinyi island in the Black Sea (2003-2006);"Gazyetov, Ye.; Polischuk, L.; Volya, E.; Chaschina, A.; Snigirov, S. (2018) Zooplankton Data in the Coastal Waters of Zmiinyi Island in the Black Sea in 2003-2006. http://www.emodnet-biology.eu";CC 0 (No Rights Reserved);NULL
5998;Phytoplankton Monitoring at the Château du Taureau Station in the Western English Channel, from 2009 to 2011;"Comtet, T; Leroy, F (2019): Phytoplankton monitoring at the Château du Taureau Station in the Western English Channel, from 2009 to 2011";Attribution-NonCommercial (CC BY-NC);NULL
5999;Roscoff Inventories: marine fauna and flora since 1800;"Houbin, C; Hoebeke, M (2019): Roscoff inventories: marine fauna and flora since 1800";Attribution (CC BY);NULL
6000;Arctic Species Trend Index (ASTI) : Freshwater;Barry T, Helgason H (2016). Arctic Species Trend Index (ASTI) : Freshwater. Version 1.2. Conservation of Arctic Flora and Fauna. Occurrence dataset;Attribution (CC BY);NULL
6002;Muskox Abundance;Carpenter M, Helgason H (2016). Muskox Abundance. Version 1.5. Conservation of Arctic Flora and Fauna. Occurrence dataset;Attribution (CC BY);NULL
6003;Spider Species Diversity from Wet and Dry Habitats;Carpenter E, Cameron E (2016). Spider species diversity from wet and dry habitats. Version 1.5. Conservation of Arctic Flora and Fauna. Occurrence dataset;CC 0 (No Rights Reserved);NULL
6004;Data on cetacean occurrence collected during the project “Identification and initial assessment of cetacean groupings in coastal waters of the north-western Black Sea, Ukrainian sector” funded by ACCOBAMS 2016-2017;"Gol'din P, Gladilina E, Savenko O, Vishnyakova K, Ivanchikova J, Derkacheva T, Gulak B, Kriukova A, Polyanska K, Neprokin O (2017): Data on cetacean occurrence collected during the project ""Identification and initial assessment of cetacean groupings in coastal waters of the north-western Black Sea, Ukrainian sector"" funded by ACCOBAMS. V1. Ukrainian Scientific Centre of Ecology of the Sea (UkrSCES). Dataset/Occurrence.";Attribution-NonCommercial (CC BY-NC);NULL
6005;Data on cetacean strandings (1999 - 2014) on the Ukrainian coast of the Black Sea and the Sea of Azov and adjoining areas;Vishnyakova K, Gol'din P (2016): Data on cetacean strandings (1999 - 2013) on the Ukrainian coast of the Black Sea and the Sea of Azov and adjoining areas. v1.3. Ukrainian Scientific Centre of Ecology of the Sea (UkrSCES). Dataset/Occurrence;Attribution-NonCommercial (CC BY-NC);NULL
6006;Data on cetacean strandings on the Ukrainian coast of the Black Sea (2017);Vishnyakova K, Savenko O, Gladilina E, Gol'din P, Neprokin O (2017): Data on cetacean strandings on the Ukrainian coast of the Black Sea (2017). v1.6. Ukrainian Scientific Centre of Ecology of the Sea (UkrSCES). Dataset/Occurrence.;Attribution-NonCommercial (CC BY-NC);NULL
6007;Benthic Communities and Environmental Parameters in Three Mediterranean Ports (Sardinia, Crete, Tunisia);Chatzinikolaou E., Arvanitidis C. (2017). Benthic communities and environmental parameters in three Mediterranean ports (Sardinia, Crete, Tunisia);Attribution (CC BY);NULL
6008;Chas.H. O'Donoghue, D.Sc. & Dora de Watteville,M.A. The fishery grounds near Alexandria. XX-Bryozoa. Notes and Memoirs No 34. Hydrobiology and Fisheries Directorate, Egypt;"Nikolopoulou Stamatina and Legaki Aglaia (2017). Digitization of ""Chas.H. O'Donoghue, D.Sc. & Dora de Watteville,M.A. The fishery grounds near Alexandria. XX-Bryozoa. Notes and Memoirs No 34. Hydrobiology and Fisheries Directorate, Egypt""";CC 0 (No Rights Reserved);NULL
6009;Dr.Karl Viets. 1935. The fishery grounds near Alexandria. IV. -Some Marine Mites From Alexandria. Notes and Memoirs No 11. Fisheries Research Directorate, Egypt;Nikolopoulou Stamatina and Evangelia Avramidou (2017). Digitation of The fishery grounds near Alexandria. IV.-Some Marine Mites From Alexandria. Notes and Memoirs No 11. Fisheries Directorate, 1935, Cairo.;CC 0 (No Rights Reserved);NULL
6010;F.M.Ghazzawi (1939) Plankton of the Egyptian waters. A study of the Suez Canal Plankton. Notes and Memories of the Hydrobiology and Fisheries Directorate of Egypt, No 24. (A) The Phytoplankton. Preliminary Report;Mavraki Dimitra and Nikolopoulou Stamatina (2017). Digitation of The Plankton of the Egyptian Waters. A study of the Suez Canal Plankton. Notes and Memoirs No 24. Hydrobiological and Fisheries Directorate, 1939, Egypt;CC 0 (No Rights Reserved);NULL
6011;M. Burton (1936). The Fishery grounds near Alexandria IX – Sponges. Notes and Memoirs No.17. Department of Zoology, British Museum. Fisheries Research Directorate. Ministry of Commerce and Industry, Egypt;Mavraki Dimitra, Paranou Giota and Nikolopoulou Stamatina (2017). Digitation of The fishery grounds near Alexandria. IX Sponges. Notes and Memoirs No 17. Fisheries Research Directorate, 1936, Egypt;CC 0 (No Rights Reserved);NULL
6014;The fishery Ground near Alexandria. XX. Nemertini by Herman Friedrich (1940). Notes and Memoirs No 38.;Stamatina Nikolopoulou and Tsikopoulou Irini (2017). Digitization of The fishery grounds near Alexandria.XX.NEMERTINI. Notes and Memoirs No 38.;CC 0 (No Rights Reserved);NULL
6013;Microscopy SMHI Tangesund 2016;NULL;Attribution (CC BY);NULL
6015;Vatova A., 1935. The fishery grounds near Alexandria, II. A bottom sample taken at Alexandria, Notes and Memoirs No 9. Fisheries Research Directorate, Egypt;Tsikopoulou Irini (2016). Digitization of The fishery grounds near Alexandria. II A bottom sample taken at Alexandria. Notes and Memoirs No 9. Fisheries Research Directorate, Egypt;CC 0 (No Rights Reserved);NULL
6016;A.Vedel Taning 1918. A.7 Mediterranean Scopelidae (Saurus, Aulopus, Chlorophthalmus and Myctophum). Report on the Danish oceanographical expeditions 1908-10 to the Mediterranean and adjacent seas. Vol.II.Biology;A.Vedel Taning, 1918. Report on the Danish oceanographical expeditions 1908-10 to the Mediterranean and adjacent seas. Vol.II.Biology;Attribution (CC BY);NULL
6017;Report on the Danish Oceanographical Expeditions 1908-1910 to the Mediterranean and adjacent seas - Introduction;Tsompanou M, Faulwetter S, Nikolopoulou S, Mavraki D, Gerovasileiou V, Fanini L, Chatzinikolaou E (2016): Digitization of the Introduction to the Report on the Danish Oceanographical Expeditions 1908-10 to the Mediterranean and adjacent seas by J. Schmidt (1912)v1.3. Hellenic Center for Marine Research. Dataset/Samplingevent.;CC 0 (No Rights Reserved);NULL
6018;Steuer Ad., 1935. The fishery grounds near Alexandria. I Preliminary report. Notes and Memoirs No 8, Fisheries Research Directorate, Egypt;Irini Tsikopoulou and Stamatina Nikolopoulou (2016). Digitization of The fishery grounds near Alexandria. I Preliminary report. Notes and Memoirs No 8, Fisheries Research Directorate, 1935, Egypt;CC 0 (No Rights Reserved);NULL
6019;Temporal evolution of zooplankton from 1898-1917 and 1966 onwards in the Northwestern Mediterranean Sea;Olivier M., Dallot S., Buecher E., Nival S., Beck O., Bonnet S., Mousseau L, Stemmann L. (2015) Temporal evolution of zooplankton from 1966 to 1999 from Juday-Bogorov net in the Northwestern Mediterranean Sea;Attribution (CC BY);NULL
6020;Steinbock (1937) Turbellaria XIV. The fishery grounds near Alexandria. Notes and Memories of the Fisheries Directorate of Egypt, No. 25;Mavraki Dimitra and Nikolopoulou Stamatina (2017). Digitation of The Fishery Grounds near Alexandria.14.Turbellaria. Notes and Memoirs No 25. Hydrobiology and Fisheries Directorate, 1937, Egypt;CC 0 (No Rights Reserved);NULL
6021;Phytoplankton composition, biomass and abundance in Estonian territorial waters 1993-2016;Estonian Marine Institute, University of Tartu and Marine Systems Institute, Tallinn University of Technology (2019): Phytoplankton composition, biomass and abundance in Estonian territorial waters 1993-2016;Attribution-NonCommercial (CC BY-NC);NULL
6022;Zooplankton biomass and abundance in Estonian territorial waters 1993-2016;Estonian Marine Institute, University of Tartu (2019): Zooplankton biomass and abundance in Estonian territorial waters 1994-2016;Attribution-NonCommercial (CC BY-NC);NULL
6023;Aerial counts and breeding success monitoring of grey seal, Estonian national monitoring 2000-2016.;"Jüssi, I.; NGO Pro Mare (2019): Aerial counts and breeding success monitoring of grey seal, Estonian national monitoring 2000-2016.";Attribution-NonCommercial (CC BY-NC);NULL
6024;Benthic flora in Estonian territorial waters 1997-2016;Estonian Marine Intstitute, University of Tartu (2019): Benthic flora in Estonian territorial waters 1997-2016;Attribution-NonCommercial (CC BY-NC);NULL
6025;Benthic fauna in Estonian territorial waters 1993-2016;Estonian Marine Institute, University of Tartu (2019): Benthic fauna in Estonian territorial waters 1993-2016.;Attribution-NonCommercial (CC BY-NC);NULL
6026;Breeding avifauna of small Estonian islands and islets, national monitoring 1957-2016;Estonian Ornithological Society (2019): Breeding avifauna of small Estonian islands and islets, national monitoring 1957-2016;Attribution-NonCommercial (CC BY-NC);NULL
6027;Mid-winter waterfowl count, Estonian national monitoring 1991-2016;Estonian Ornithological Society (2019): Mid-winter waterfowl count, Estonian national monitoring 1991-2016;Attribution-NonCommercial (CC BY-NC);NULL
6028;MEP-NSW Gillnet;NULL;CC 0 (No Rights Reserved);NULL
6029;Details of MEP-NSW-Pelagic fish;NULL;CC 0 (No Rights Reserved);NULL
6030;MEP-NSW Demersal fish;NULL;CC 0 (No Rights Reserved);NULL
6031;Bivalves surveys for the Monitoring and Evaluation Programme of the North Sea OWEZ wind park in 2007;"Ministery of Infrastructure and Environment, The Netherlands; (2019): Bivalves surveys for the Monitoring and Evaluation Programme of the North Sea OWEZ wind park in 2007";CC 0 (No Rights Reserved);NULL
6032;Data from the study: Indications of dynamic effects on scaling relationships between channel sinuosity and vegetation patch size across a salt marsh platform;Taramelli, A., Valentini, E., Cornacchia, L., Monbaliu, J., Sabbe K. (2018). Data from the study: Indications of dynamic effects on scaling relationships between channel sinuosity and vegetation patch size across a salt marsh platform. Marine Data Archive;Attribution (CC BY);NULL
6033;3D modelling of intertidal beach zone (Mariakerke-Bad, April 2018);"3D Data Acquisition Research Unit - UGent, Belgium; (2018) 3D-modellering van intertidale strandzone (Mariakerke-Bad, april 2018)";For more information on the restrictions, use contact information.;NULL
6034;3D modelling of intertidal beach zone (Groenendijk, January 2018);"3D Data Acquisition Research Unit - UGent, Belgium; (2018) 3D-modellering van intertidale strandzone (Groenendijk, januari 2018)";For more information on the restrictions, use contact information.;NULL
6035;3D modelling of intertidal beach zone (Mariakerke-Bad, November 2017);"3D Data Acquisition Research Unit - UGent, Belgium; (2017) 3D-modellering van intertidale strandzone (Mariakerke-Bad, november 2017)";For more information on the restrictions, use contact information.;NULL
6036;3D modelling of intertidal beach zone (Mariakerke-Bad, October 2017);"3D Data Acquisition Research Unit - UGent, Belgium; (2017) 3D-modellering van intertidale strandzone (Mariakerke-Bad, oktober 2017)";For more information on the restrictions, use contact information.;NULL
6037;Pocket Ferry Box (PFB) and Algae Online Analyser (AOA) data from the IBTS 2015, 2016, 2017 cruises, English Channel and North Sea;Lefebvre Alain (2018). Pocket Ferry Box (PFB) and Algae Online Analyser (AOA)  data from the IBTS 2015, 2016, 2017 cruises, English Channel and North Sea;Attribution-NonCommercial (CC BY-NC);NULL
6039;World List of Scleractinia;"Hoeksema, B. W.; Cairns, S. (2024). World List of Scleractinia. Accessed at https://www.marinespecies.org/scleractinia on yyyy-mm-dd";Attribution (CC BY);NULL
6040;Plankton biodiversity data from a LifeWatch/Jerico North Sea Cruise with R/V Simon Stevin in April 2018;NULL;Attribution (CC BY);NULL
6042;The intersect of the Exclusive Economic Zones and IHO sea areas, version 3;Flanders Marine Institute (2018). The intersect of the Exclusive Economic Zones and IHO sea areas, version 3. Available online at https://www.marineregions.org/;Attribution-NonCommercial-ShareAlike (CC BY-NC-SA);NULL
6043;Global contourite distribution database, version 2;"Flanders Marine Institute; Renard Centre of Marine Geology - Ugent (2018). Global contourite distribution database, version 2. Available online at https://www.marineregions.org";Attribution-NonCommercial-ShareAlike (CC BY-NC-SA);NULL
6044;Temporary acoustic network in the Portuguese Southwest Coast during summer of 2012;"Belo, A.F.; T.J. Pereira; B.R. Quintella; N. Castro; J.L. Costa & P.R. Almeida (2018). Temporary acoustic network of 20 automatic receivers (VR2w - listening at 69kHz) deployed across Pessegueiro Island MPA, operating during the summer of 2012.";Unrestricted after moratorium period;NULL
6045;Tracking White seabreams (Diplodus sargus) movement patterns in the Portuguese Southwest Coast during the Summer of 2012;"Belo, A.F.; T.J. Pereira; B.R. Quintella; N. Castro; J.L. Costa & P.R. Almeida (2018). Tracking White seabreams (Diplodus sargus) movement patterns in the Portuguese Southwest Coast during the Summer of 2012";Unrestricted after moratorium period;NULL
6046;2D tracking at a fish ladder outlet in the Iller river near the hydropower dam of Altusried (Germany), 2018.;Pauwels, I.S., Baeyens, R., De Maerteleire,N., Pieters, S., Vergeynst, J., Epple, T., Lechner, T., Naumann, J., Schneider, M., Coeck, J.2018. Precise movements of grayling and barbel near a fish ladder by-passing the hydropower plant of Altusried on the river Iller (Germany).;Unrestricted after moratorium period;NULL
6047;2D tracking at a fish ladder outlet in the Iller river near the hydropower dam of Altusried (Germany), 2017.;Pauwels, I.S., Baeyens, R., De Maerteleire,N., Pieters, S., Vergeynst, J., Epple, T., Lechner, T., Naumann, J., Schneider, M., Coeck, J.2017. Precise movements of grayling and barbel near a fish ladder by-passing the hydropower plant of Altusried on the river Iller (Germany).;Unrestricted after moratorium period;NULL
6048;VPS receiver network on the Albert Canal, Kwaadmechelen;NULL;Attribution (CC BY);NULL
6049;VPS receiver network on the Albert Canal, Kwaadmechelen;NULL;Attribution (CC BY);NULL
6050;VPS receiver network on the Albert Canal, Kwaadmechelen;NULL;Attribution (CC BY);NULL
6052;Unlocking the Severn;"Davies, Peter; Angelopolous, Natalie; Dodd, Jamie; Nunn, Andy; Britton, J Robert; Cowx, Ian; Bolland, Jon; (2018). Acoustic tagged twaite shad (A. fallax)  from the 'Unlocking the Severn' project";Unrestricted after moratorium period;NULL
6053;Wave Hub Trial Array (Whitsand Bay);NULL;Attribution (CC BY);NULL
6054;Wave Hub;NULL;Attribution (CC BY);NULL
6055;MASSMO;NULL;Attribution (CC BY);NULL
6056;MBA UK Fish Tracking;NULL;Attribution (CC BY);NULL
6057;Eelmigration from source to sea;"Huisman, Jeroen; Schollema, Peter Paul; (2017): Eelmigration from source to sea";Unrestricted after moratorium period;NULL
6058;VPS receiver network on the Albert Canal, Kwaadmechelen;NULL;Attribution (CC BY);NULL
6062;Tracking the movements of European conger during the summer of 2013 in the Portuguese Southwest Coast;"Silva, A.F.; T.J. Pereira; A.F. Belo; B.R. Quintella; N. Castro; J.L. Costa & P.R. Almeida (2018). Tracking the movements of European conger during the summer of 2013 in the Portuguese Southwest Coast";Unrestricted after moratorium period;NULL
6063;Tracking the movements of Mediterranean moray during the summer of 2013 in the Portuguese Southwest Coast;"Silva, A.F.; T.J. Pereira; A.F. Belo; B.R. Quintella; N. Castro; J.L. Costa & P.R. Almeida (2018). Tracking the Movements of mediterranean moray during the summer of 2013 in the Portuguese Southwest Coast";Unrestricted after moratorium period;NULL
6064;Temporary acoustic network in the Portuguese Southwest Coast during summer of 2013;"Silva, A.F.; T.J. Pereira; A.F. Belo; B.R. Quintella; N. Castro; J.L. Costa & P.R. Almeida (2018). Temporary acoustic network of 20 automatic receivers (VR2w - listening at 69kHz) deployed across Pessegueiro Island MPA, operating during the summer of 2013";Attribution (CC BY);NULL
6067;Decentraal Aalbeheer door Kennis;NULL;Unrestricted after moratorium period;NULL
6068;Long-term Sea Mammal Research Unit Aerial Survey data  (SMRU)  Harbour Seal Counts and Grey Seal Pup Production  in UK , 1989-present;"Hall, A. ; Scottish Oceans Institute (USTAN), UK; (2018) Long-term Sea Mammal Research Unit Aerial Survey data  (SMRU)  Harbour Seal Counts and Grey Seal Pup Production  in UK , 1989-present";NULL;NULL
6070;Long-term measurements of zooplankton abundance, Chlorophyll, Temperature, Salinity and Dissolved Oxygen in the Basque coast since 1998;"Villate, F.; Department of Plant Biology and Ecology (UPV/EHU), Spain; (2018) Long-term measurements of zooplankton abundance, Chlorophyll , Temperature, Salinity and Dissolved Oxygen in the Basque coast since 1998.";The data can be made available upon request, please use contact information.;NULL
6071;Long-term Scottish Coastal Observatory Data;Marine Scotland Science. 2018. Scottish Coastal Observatory Data;Unrestricted;NULL
6072;1899-1985 Marine Biological Association of the United Kingdom (MBA) English Channel benthic invertebrate long-term surveys - brittlestar survey and seabed species;"Seeley, B., Lear, D.; Marine Biological Association of the UK; (2018) 1899-1985 Marine Biological Association of the United Kingdom (MBA) English Channel benthic invertebrate surveys - brittlestar survey and seabed species.";The data can be made available upon request, please use contact information.;NULL
6073;1903 - Ongoing Marine Biological Association of the United Kingdom (MBA) International Council for Exploration of the Seas (ICES) E1 time series data - Phytoplankton;"Sims, D.;  Marine Biological Association of the United Kingdom (MBA); (2008) 1903 - Ongoing Marine Biological Association of the United Kingdom (MBA) International Council for Exploration of the Seas (ICES) E1 time series data - Phytoplankton";The data can be made available upon request, please use contact information.;NULL
6074;1913-2003 Marine Biological Association of the United Kingdom (MBA) Demersal fish and Nekton time series;"McGhee, S.; Marine Biological Association of the United Kingdom (MBA); (2018) 1913-2003 Marine Biological Association of the United Kingdom (MBA) Demersal fish and Nekton time series";The data can be made available upon request, please use contact information.;NULL
6075;1911-Ongoing Marine Biological Association of the United Kingdom (MBA) Standard Haul Time Series Otter Trawl Survey;"Sims, D.;  Marine Biological Association of the United Kingdom (MBA); (2007) 1911-Ongoing Marine Biological Association of the United Kingdom (MBA) Standard Haul Time Series Otter Trawl Survey";The data can be made available upon request, please use contact information.;NULL
6076;1949-1972 Marine Biological Association of the UK (MBA)  long-term Sarsia Otter Trawl Survey;"Sims, D.;  Marine Biological Association of the United Kingdom (MBA); (2018) 1949-1972 Marine Biological Association of the UK (MBA)  long-term Sarsia Otter Trawl Survey";The data can be made available upon request, please use contact information.;NULL
6077;Rothera Oceanographic and Biological Time Series;"Venables, H.; Brearley, A.; Clarke, A.; Meredith, M.: British Antarctic Survey (NERC); (2018)  Rothera Oceanographic and Biological Time Series";The data can be made available upon request, please use contact information.;NULL
6078;Marine Coastal Information SysTEm from LTER-MareChiara  in the Gulf of Naples;"Zingone, A.;  Conversano, F.; Iudicone, D.; Margiotta, F.; Mazzocchi, M.G.; Montresor, M.; Passarelli, A.; Stazione Zoologica Anton Dohrn; (2018) Marine Coastal Information SysTEm from LTER-MareChiara  in the Gulf of Naples";The data can be made available upon request, please use contact information.;NULL
6079;Coastal marine observatory site Gulf of Trieste;"National Institute of Oceanography and Experimental Geophysics; (2018) GoTTs - Coastal marine observatory site Gulf of Trieste";Unrestricted;NULL
6080;Long-term measurements of the seawater quality, heavy metals, pigments, phytoplankton and weather at Päiväluoto at-sea monitoring station, from 1967 onwards;"Mäkinen, K.; Olli, L.; Hänninen, J.; Archipelago Research Institute; (2018) Long-term measurements of the seawater quality, heavy metals, pigments, phytoplankton and weather at Päiväluoto at-sea monitoring station, from 1967 onwards";The data can be made available upon request, please use contact information.;NULL
6081;Long-term daily seawater temperature at Seili post pier, from 1981 onwards;"Mäkinen, K.;  Archipelago Research Institute; (2018) Long-term daily seawater temperature at Seili post pier, from 1981 onwards";The data can be made available upon request, please use contact information.;NULL
6082;Long-term measurements of blue-green algae concentration at Seili post pier, from 2016 onwards;"Laaksonlaita, J.; Archipelago Research Institute; (2018) Long-time measurements on-line blue-green algae concentration at Seili post pier, from 2016 onwards";The data can be made available upon request, please use contact information.;NULL
6083;Long-term measurements of epibenthos abundance collected at Seili Island, from 2011 onwards;"Hänninen, J.; Archipelago Research Institute; (2018) Long-term measurements of epibenthos abundance collected at Seili Island, from 2011 onwards";The data can be made available upon request, please use contact information.;NULL
6085;Long-term Herring data collected at Seili island, from 1984 onwards;"Mäkinen, K.; Olli, L.; Hänninen, J.; Archipelago Research Institute; (2018) Long-term Herring data collected at Seili island, from 1984 onwards";The data can be made available upon request, please use contact information.;NULL
6086;Long-term Zooplankton measurments at Päiväluoto monitoring station, from 1967 onwards;"Mäkinen, K.;  Archipelago Research Institute; (2018) Long-term Zooplankton at Päiväluoto monitoring station, from 1967 onwards";The data can be made available upon request, please use contact information.;NULL
6089;Long-term measurements of physico-chemical parameters, DN15 and DC13 within the SOMLIT network, from 1997 onwards;"Thiébaut E.; Station Biologique de Roscoff (CNRS); (2018) Long-term measurements of physico-chemical parameters, DN15 and DC13 within the SOMLIT network, from 1997 onwards";The data can be made available upon request, please use contact information.;NULL
6090;Long-term measurements of species composition and abundance of benthic fish at Pierre Noire sampling station, from 1977 onwards;"Thiébaut E.; Station Biologique de Roscoff (CNRS); (2018) Long-term measurements of species composition and abundance of benthic fish at Pierre Noire sampling station, from 1977 onwards";Attribution (CC BY);NULL
6091;Long-term molecular observations of microorganisms diversity at Astan and Château du Taureau sampling stations, from 2010 onwards;"Thiébaut E.; Station Biologique de Roscoff (CNRS); (2018) Long-term molecular observations of micro-organisms diversity at Astan and Chateau du Taureau sampling stations, from 2010 onwards";The data can be made available upon request, please use contact information.;NULL
6092;Depth, CTD, pH, Alkalinity, nutrients, Chl-a, Pheo-a, POC and Sechi depth measurements from the Israel National Monitoring Program in the Gulf of Eilat, from 2004 onwards;"Berkowicz S.;  Inter-University Institute for Marine Sciences in Eilat; (2018) Depth, CTD, pH, Alkalinity, nutrients, Chl-a, Pheo-a, POC and Sechi depth measurements from the Israel National Monitoring Program at the Gulf of Eilat, from 2004 onwards";For more information on the restrictions, use contact information.;NULL
6093;Long-term Lagoon Coral Census in the Coral Beach Nature Reserve lagoon and Reef Coral Census in Eilat coast, from 2004 onwards;"Berkowicz S.; Inter-University Institute for Marine Sciences in Eilat; (2018) Long-term Lagoon Coral Census in the Coral Beach Nature Reserve lagoon and Reef Coral Census in Eilat coast, from 2004 onwards";For more information on the restrictions, use contact information.;NULL
6094;Long-term reef motile invertebrate and fish census in  Coral Beach Nature Reserve, from 2004 onwards;"Berkowicz S.; Inter-University Institute for Marine Sciences in Eilat; (2018) Long-term reef motile invertebrate and fish census in  Coral Beach Nature Reserve, from 2004 onwards";For more information on the restrictions, use contact information.;NULL
6095;Long-term measurements of zooplankton in the SOLMIT point of Villefranche-sur-Mer, from 1966 onwards;"Lombard F.; Observatoire Océanologique de Villefranche sur Mer (CNRS); (2018) Long-term measurements of zooplankton in the SOLMIT point of Villefranche-sur-Mer, from 1966 onwards";Unrestricted;NULL
6096;Long-term measurements of phytoplankton pigments in the SOLMIT point of Villefranche-sur-Mer, from 2012 onwards;"Mousseau, L.; Observatoire Océanologique de Villefranche sur Mer (CNRS); (2018) Long-term measurements of phytoplankton pigments in the SOLMIT point of Villefranche-sur-Mer, from 2012 onwards";For more information on the restrictions, use contact information.;NULL
6097;Long-term abundance of settlement-stage fish larvae (ichthyoplankton) in the bay of Villefranche-sur-mer, from 2012 onwards;Irisson Jean-Olivier, Faillettaz Robin, Petit Franck, De Liège Guillaume (2018). RadeICHTHYO : Abundance of settlement-stage fish larvae (ichthyoplankton) in the bay of Villefranche-sur-mer. SEANOE.;Unrestricted;NULL
6100;Long-term online measurements of physico-chemical data in Western Gulf of Finland coastal areas, 2017 onwards;"Reinikainen, M.; Tvärminne Zoological Station; (2018) MONICOAST: online measurements of physico-chemical data in Western Gulf of Finland coastal areas 2017 onwards";The data can be made available upon request, please use contact information.;NULL
6102;"Long-term CTD, nutrients and water chemistry measurements on the pelagic station ""Storfjärden"" in Western Gulf of Finland, 1989 onwards";"Norkko, J.;  Reinikainen, M.; Tvärminne Zoological Station; (2018) Long-term CTD, nutrients and water chemistry measurements on pelagic station ""Storfjärden"" in Western Gulf of Finland, 1989 onwards";The data can be made available upon request, please use contact information.;NULL
6103;Long-term measurements of water quality, nutrients, pigments, stable isotopes, phytoplankton and bacterial diversity in MOLA, SOLA, POLA sampling sites, since the 90's;"Vuillemin, R.; Observatoire Océanologique de Banyuls (CNRS); (2018) Long-term measurements of water quality, nutrients, pigments, stable isotopes, phytoplankton and bacterial diversity in MOLA, SOLA, POLA sampling sites, since the 90's";The data can be made available upon request, please use contact information.;NULL
6104;Long-term meteorological data in the Gulf of Eilat, from 2006 onwards;"Berkowicz S.; Inter-University Institute for Marine Sciences in Eilat; (2018) Long-term meteorological data in the Gulf of Eilat, from 2006 onwards";Unrestricted;NULL
6105;Organic Matter in Sediments from the Israel National Monitoring Program in the Gulf of Eilat, from 2005 onwards;"Berkowicz S.; Inter-University Institute for Marine Sciences in Eilat; (2018) Organic Matter in Sediments from the Israel National Monitoring Program in the Gulf of Eilat, from 2005 onwards";Unrestricted;NULL
6106;Current profile ADCP from the Israel National Monitoring Program  in the Gulf of Eilat, from 2014 onwards;"Berkowicz S.; Inter-University Institute for Marine Sciences in Eilat; (2018) Current profile ADCP from the Israel National Monitoring Program  in the Gulf of Eilat, from 2014 onwards";Unrestricted;NULL
6107;Zoological Collection Database Stazione Zoologica Antorn Dohrn di  Napoli;"Stazione Zoologica Antorn Dohrn di  Napoli; (2018) Zoological Collection Database Stazione Zoologica Antorn Dohrn di  Napoli";The data can be made available upon request, please use contact information.;NULL
6108;Fisheries monitoring in St. Eustatius from 2012 to 2017;"Kitson-Walters, K.; Caribbean Netherlands Science Institute (NIOZ); (2018) Fisheries monitoring in St. Eustatius from 2012 to 2017";The data can be made available upon request, please use contact information.;NULL
